elem	time
1	0
101	31
201	179
301	312
401	632
501	1492
601	1933
701	2041
801	4312
901	3574
1001	6064
1101	5829
1201	9523
1301	12993
1401	12553
1501	16275
1601	18468
1701	22996
1801	24487
1901	24339
2001	33620
2101	32618
2201	42716
2301	46466
2401	54121
2501	62296
2601	69116
2701	77912
2801	77029
2901	88521
3001	101459
3101	100196
3201	107835
3301	118313
3401	133848
3501	145901
3601	166719
3701	165078
3801	190576
3901	205220
4001	186671
4101	204523
4201	237412
4301	241499
4401	275571
4501	290974
4601	269302
4701	305412
4801	348948
4901	351991
5001	371164
5101	393959
5201	408300
5301	451593
5401	453440
5501	502143
5601	497327
5701	523266
5801	542958
5901	585429
6001	464251
6101	466098
6201	539568
6301	640139
6401	700103
6501	679861
6601	733164
6701	764268
6801	823353
6901	866532
7001	924878
7101	991562
7201	978854
7301	978818
7401	1076223
7501	1129965
7601	1134973
7701	1154933
7801	1255807
7901	1232274
8001	1278835
8101	1395124
8201	1419428
8301	1485528
8401	1523480
8501	1537703
8601	1678719
8701	1660871
8801	1759784
8901	1855886
9001	1985854
9101	1996590
9201	2065409
9301	2120432
9401	2228382
9501	2187373
9601	1920399
9701	2097845
9801	2332662
9901	2501178
